,Path,Relative_Path,Type,Sublabel,Label
953,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/interdiction_tourner_droite/img_33.png,../Donnees/Interdictions/interdiction_tourner_droite/img_33.png,Interdictions,interdiction_tourner_droite,Interdictions-interdiction_tourner_droite
380,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_cycles/img_43.png,../Donnees/Interdictions/acces_interdit_cycles/img_43.png,Interdictions,acces_interdit_cycles,Interdictions-acces_interdit_cycles
2038,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/tourner_a_gauche/img_36.png,../Donnees/Obligations/tourner_a_gauche/img_36.png,Obligations,tourner_a_gauche,Obligations-tourner_a_gauche
392,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_cycles/img_6.png,../Donnees/Interdictions/acces_interdit_cycles/img_6.png,Interdictions,acces_interdit_cycles,Interdictions-acces_interdit_cycles
2943,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Circulation_Dans_Les_Deux_Sens/img_53.png,../Donnees/Dangers/Circulation_Dans_Les_Deux_Sens/img_53.png,Dangers,Circulation_Dans_Les_Deux_Sens,Dangers-Circulation_Dans_Les_Deux_Sens
470,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/interdiction_depasser_deux_roues/img_39.png,../Donnees/Interdictions/interdiction_depasser_deux_roues/img_39.png,Interdictions,interdiction_depasser_deux_roues,Interdictions-interdiction_depasser_deux_roues
748,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_pietons/img_12.png,../Donnees/Interdictions/acces_interdit_pietons/img_12.png,Interdictions,acces_interdit_pietons,Interdictions-acces_interdit_pietons
1025,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/sens_interdit/img_3.png,../Donnees/Interdictions/sens_interdit/img_3.png,Interdictions,sens_interdit,Interdictions-sens_interdit
97,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Fin_Interdictions/Fin_Interdiction_Utiliser_Avertisseur_Sonore/img_7.png,../Donnees/Fin_Interdictions/Fin_Interdiction_Utiliser_Avertisseur_Sonore/img_7.png,Fin_Interdictions,Fin_Interdiction_Utiliser_Avertisseur_Sonore,Fin_Interdictions-Fin_Interdiction_Utiliser_Avertisseur_Sonore
1662,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/tout_droit_ou_a_droite/img_46.png,../Donnees/Obligations/tout_droit_ou_a_droite/img_46.png,Obligations,tout_droit_ou_a_droite,Obligations-tout_droit_ou_a_droite
3164,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Indications/Route_Acces_Reglementee/img_12.png,../Donnees/Indications/Route_Acces_Reglementee/img_12.png,Indications,Route_Acces_Reglementee,Indications-Route_Acces_Reglementee
1511,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/tourner_a_droite/img_131.png,../Donnees/Obligations/tourner_a_droite/img_131.png,Obligations,tourner_a_droite,Obligations-tourner_a_droite
2453,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Danger_Pouvant_Etre_Precise_Ou_Non_Par_Un_Panonceau/img_22.png,../Donnees/Dangers/Danger_Pouvant_Etre_Precise_Ou_Non_Par_Un_Panonceau/img_22.png,Dangers,Danger_Pouvant_Etre_Precise_Ou_Non_Par_Un_Panonceau,Dangers-Danger_Pouvant_Etre_Precise_Ou_Non_Par_Un_Panonceau
2640,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Interesection_Ou_Vous_Etes_Prioritaire/img_12.png,../Donnees/Dangers/Interesection_Ou_Vous_Etes_Prioritaire/img_12.png,Dangers,Interesection_Ou_Vous_Etes_Prioritaire,Dangers-Interesection_Ou_Vous_Etes_Prioritaire
2379,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Succesion_De_Virage_Gauche/img_18.png,../Donnees/Dangers/Succesion_De_Virage_Gauche/img_18.png,Dangers,Succesion_De_Virage_Gauche,Dangers-Succesion_De_Virage_Gauche
1260,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/stationnement_interdit/img_67.png,../Donnees/Interdictions/stationnement_interdit/img_67.png,Interdictions,stationnement_interdit,Interdictions-stationnement_interdit
3213,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Indications/Route_Acces_Reglementee/img_57.png,../Donnees/Indications/Route_Acces_Reglementee/img_57.png,Indications,Route_Acces_Reglementee,Indications-Route_Acces_Reglementee
2881,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Succesion_De_Virage_Droite/img_65.png,../Donnees/Dangers/Succesion_De_Virage_Droite/img_65.png,Dangers,Succesion_De_Virage_Droite,Dangers-Succesion_De_Virage_Droite
1803,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/a_droite_ou_gauche/img_47.png,../Donnees/Obligations/a_droite_ou_gauche/img_47.png,Obligations,a_droite_ou_gauche,Obligations-a_droite_ou_gauche
133,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Fin_Interdictions/Fin_Interdiction_De_Depasser/img_4.png,../Donnees/Fin_Interdictions/Fin_Interdiction_De_Depasser/img_4.png,Fin_Interdictions,Fin_Interdiction_De_Depasser,Fin_Interdictions-Fin_Interdiction_De_Depasser
344,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_cycles/img_10.png,../Donnees/Interdictions/acces_interdit_cycles/img_10.png,Interdictions,acces_interdit_cycles,Interdictions-acces_interdit_cycles
2897,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Circulation_Dans_Les_Deux_Sens/img_11.png,../Donnees/Dangers/Circulation_Dans_Les_Deux_Sens/img_11.png,Dangers,Circulation_Dans_Les_Deux_Sens,Dangers-Circulation_Dans_Les_Deux_Sens
202,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Fin_Interdictions/Fin_Interdiction_De_Depasser_Vehicules_Lourds/img_37.png,../Donnees/Fin_Interdictions/Fin_Interdiction_De_Depasser_Vehicules_Lourds/img_37.png,Fin_Interdictions,Fin_Interdiction_De_Depasser_Vehicules_Lourds,Fin_Interdictions-Fin_Interdiction_De_Depasser_Vehicules_Lourds
2892,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Succesion_De_Virage_Droite/img_75.png,../Donnees/Dangers/Succesion_De_Virage_Droite/img_75.png,Dangers,Succesion_De_Virage_Droite,Dangers-Succesion_De_Virage_Droite
2246,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Priorite_A_Droite/img_66.png,../Donnees/Dangers/Priorite_A_Droite/img_66.png,Dangers,Priorite_A_Droite,Dangers-Priorite_A_Droite
254,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/interdiction_tourner_gauche/img_2.png,../Donnees/Interdictions/interdiction_tourner_gauche/img_2.png,Interdictions,interdiction_tourner_gauche,Interdictions-interdiction_tourner_gauche
117,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Fin_Interdictions/Fin_Interdiction_De_Depasser/img_25.png,../Donnees/Fin_Interdictions/Fin_Interdiction_De_Depasser/img_25.png,Fin_Interdictions,Fin_Interdiction_De_Depasser,Fin_Interdictions-Fin_Interdiction_De_Depasser
1854,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/chaines_a_neige_obligatoires/img_105.png,../Donnees/Obligations/chaines_a_neige_obligatoires/img_105.png,Obligations,chaines_a_neige_obligatoires,Obligations-chaines_a_neige_obligatoires
41,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Fin_Interdictions/Fin_Toutes_Interdiction/img_47.png,../Donnees/Fin_Interdictions/Fin_Toutes_Interdiction/img_47.png,Fin_Interdictions,Fin_Toutes_Interdiction,Fin_Interdictions-Fin_Toutes_Interdiction
1712,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/tout_droit_ou_a_gauche/img_23.png,../Donnees/Obligations/tout_droit_ou_a_gauche/img_23.png,Obligations,tout_droit_ou_a_gauche,Obligations-tout_droit_ou_a_gauche
2543,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Carrefour_Sens_Giratoire/img_14.png,../Donnees/Dangers/Carrefour_Sens_Giratoire/img_14.png,Dangers,Carrefour_Sens_Giratoire,Dangers-Carrefour_Sens_Giratoire
2231,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Priorite_A_Droite/img_52.png,../Donnees/Dangers/Priorite_A_Droite/img_52.png,Dangers,Priorite_A_Droite,Dangers-Priorite_A_Droite
2206,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Priorite_A_Droite/img_3.png,../Donnees/Dangers/Priorite_A_Droite/img_3.png,Dangers,Priorite_A_Droite,Dangers-Priorite_A_Droite
3429,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Indications/Circulation_Sens_Unique/img_17.png,../Donnees/Indications/Circulation_Sens_Unique/img_17.png,Indications,Circulation_Sens_Unique,Indications-Circulation_Sens_Unique
884,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_vehicules_moteurs_sauf_velo/img_7.png,../Donnees/Interdictions/acces_interdit_vehicules_moteurs_sauf_velo/img_7.png,Interdictions,acces_interdit_vehicules_moteurs_sauf_velo,Interdictions-acces_interdit_vehicules_moteurs_sauf_velo
2705,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Chaussee_Particulierement_Glissante/img_13.png,../Donnees/Dangers/Chaussee_Particulierement_Glissante/img_13.png,Dangers,Chaussee_Particulierement_Glissante,Dangers-Chaussee_Particulierement_Glissante
1947,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/chaines_a_neige_obligatoires/img_9.png,../Donnees/Obligations/chaines_a_neige_obligatoires/img_9.png,Obligations,chaines_a_neige_obligatoires,Obligations-chaines_a_neige_obligatoires
2282,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Cassis/img_34.png,../Donnees/Dangers/Cassis/img_34.png,Dangers,Cassis,Dangers-Cassis
548,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_vehicules_marchandise/img_29.png,../Donnees/Interdictions/acces_interdit_vehicules_marchandise/img_29.png,Interdictions,acces_interdit_vehicules_marchandise,Interdictions-acces_interdit_vehicules_marchandise
227,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/interdiction_depasser_transport_marchandise/img_2.png,../Donnees/Interdictions/interdiction_depasser_transport_marchandise/img_2.png,Interdictions,interdiction_depasser_transport_marchandise,Interdictions-interdiction_depasser_transport_marchandise
855,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_vehicules_moteurs_sauf_velo/img_26.png,../Donnees/Interdictions/acces_interdit_vehicules_moteurs_sauf_velo/img_26.png,Interdictions,acces_interdit_vehicules_moteurs_sauf_velo,Interdictions-acces_interdit_vehicules_moteurs_sauf_velo
2057,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/tourner_a_gauche/img_53.png,../Donnees/Obligations/tourner_a_gauche/img_53.png,Obligations,tourner_a_gauche,Obligations-tourner_a_gauche
2442,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Danger_Pouvant_Etre_Precise_Ou_Non_Par_Un_Panonceau/img_12.png,../Donnees/Dangers/Danger_Pouvant_Etre_Precise_Ou_Non_Par_Un_Panonceau/img_12.png,Dangers,Danger_Pouvant_Etre_Precise_Ou_Non_Par_Un_Panonceau,Dangers-Danger_Pouvant_Etre_Precise_Ou_Non_Par_Un_Panonceau
1804,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/a_droite_ou_gauche/img_48.png,../Donnees/Obligations/a_droite_ou_gauche/img_48.png,Obligations,a_droite_ou_gauche,Obligations-a_droite_ou_gauche
2489,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Danger_Pouvant_Etre_Precise_Ou_Non_Par_Un_Panonceau/img_55.png,../Donnees/Dangers/Danger_Pouvant_Etre_Precise_Ou_Non_Par_Un_Panonceau/img_55.png,Dangers,Danger_Pouvant_Etre_Precise_Ou_Non_Par_Un_Panonceau,Dangers-Danger_Pouvant_Etre_Precise_Ou_Non_Par_Un_Panonceau
1015,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/sens_interdit/img_20.png,../Donnees/Interdictions/sens_interdit/img_20.png,Interdictions,sens_interdit,Interdictions-sens_interdit
1392,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/limitation_vitesse/img_66.png,../Donnees/Interdictions/limitation_vitesse/img_66.png,Interdictions,limitation_vitesse,Interdictions-limitation_vitesse
1793,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/a_droite_ou_gauche/img_38.png,../Donnees/Obligations/a_droite_ou_gauche/img_38.png,Obligations,a_droite_ou_gauche,Obligations-a_droite_ou_gauche
6,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Fin_Interdictions/Fin_Toutes_Interdiction/img_15.png,../Donnees/Fin_Interdictions/Fin_Toutes_Interdiction/img_15.png,Fin_Interdictions,Fin_Toutes_Interdiction,Fin_Interdictions-Fin_Toutes_Interdiction
1391,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/limitation_vitesse/img_65.png,../Donnees/Interdictions/limitation_vitesse/img_65.png,Interdictions,limitation_vitesse,Interdictions-limitation_vitesse
733,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_cyclemoteurs/img_2.png,../Donnees/Interdictions/acces_interdit_cyclemoteurs/img_2.png,Interdictions,acces_interdit_cyclemoteurs,Interdictions-acces_interdit_cyclemoteurs
2730,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Chaussee_Particulierement_Glissante/img_36.png,../Donnees/Dangers/Chaussee_Particulierement_Glissante/img_36.png,Dangers,Chaussee_Particulierement_Glissante,Dangers-Chaussee_Particulierement_Glissante
3092,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Indications/Reduction_Du_Nombre_De_Voies/img_1.png,../Donnees/Indications/Reduction_Du_Nombre_De_Voies/img_1.png,Indications,Reduction_Du_Nombre_De_Voies,Indications-Reduction_Du_Nombre_De_Voies
2295,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Cassis/img_46.png,../Donnees/Dangers/Cassis/img_46.png,Dangers,Cassis,Dangers-Cassis
1855,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/chaines_a_neige_obligatoires/img_106.png,../Donnees/Obligations/chaines_a_neige_obligatoires/img_106.png,Obligations,chaines_a_neige_obligatoires,Obligations-chaines_a_neige_obligatoires
2021,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/tourner_a_gauche/img_20.png,../Donnees/Obligations/tourner_a_gauche/img_20.png,Obligations,tourner_a_gauche,Obligations-tourner_a_gauche
2773,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Pont_Mobile/img_27.png,../Donnees/Dangers/Pont_Mobile/img_27.png,Dangers,Pont_Mobile,Dangers-Pont_Mobile
1669,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/tout_droit_ou_a_droite/img_52.png,../Donnees/Obligations/tout_droit_ou_a_droite/img_52.png,Obligations,tout_droit_ou_a_droite,Obligations-tout_droit_ou_a_droite
2786,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Chaussee_retrecie_par_la_droite/img_12.png,../Donnees/Dangers/Chaussee_retrecie_par_la_droite/img_12.png,Dangers,Chaussee_retrecie_par_la_droite,Dangers-Chaussee_retrecie_par_la_droite
2849,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Succesion_De_Virage_Droite/img_36.png,../Donnees/Dangers/Succesion_De_Virage_Droite/img_36.png,Dangers,Succesion_De_Virage_Droite,Dangers-Succesion_De_Virage_Droite
1928,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/chaines_a_neige_obligatoires/img_72.png,../Donnees/Obligations/chaines_a_neige_obligatoires/img_72.png,Obligations,chaines_a_neige_obligatoires,Obligations-chaines_a_neige_obligatoires
1938,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/chaines_a_neige_obligatoires/img_81.png,../Donnees/Obligations/chaines_a_neige_obligatoires/img_81.png,Obligations,chaines_a_neige_obligatoires,Obligations-chaines_a_neige_obligatoires
3032,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Virage_A_Droite/img_15.png,../Donnees/Dangers/Virage_A_Droite/img_15.png,Dangers,Virage_A_Droite,Dangers-Virage_A_Droite
2193,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Priorite_A_Droite/img_18.png,../Donnees/Dangers/Priorite_A_Droite/img_18.png,Dangers,Priorite_A_Droite,Dangers-Priorite_A_Droite
1795,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/a_droite_ou_gauche/img_4.png,../Donnees/Obligations/a_droite_ou_gauche/img_4.png,Obligations,a_droite_ou_gauche,Obligations-a_droite_ou_gauche
284,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/interdiction_tourner_gauche/img_47.png,../Donnees/Interdictions/interdiction_tourner_gauche/img_47.png,Interdictions,interdiction_tourner_gauche,Interdictions-interdiction_tourner_gauche
2192,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Priorite_A_Droite/img_17.png,../Donnees/Dangers/Priorite_A_Droite/img_17.png,Dangers,Priorite_A_Droite,Dangers-Priorite_A_Droite
3079,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Indications/Ralentisseur/img_24.png,../Donnees/Indications/Ralentisseur/img_24.png,Indications,Ralentisseur,Indications-Ralentisseur
2286,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Cassis/img_38.png,../Donnees/Dangers/Cassis/img_38.png,Dangers,Cassis,Dangers-Cassis
915,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_motos/img_35.png,../Donnees/Interdictions/acces_interdit_motos/img_35.png,Interdictions,acces_interdit_motos,Interdictions-acces_interdit_motos
965,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/interdiction_tourner_droite/img_44.png,../Donnees/Interdictions/interdiction_tourner_droite/img_44.png,Interdictions,interdiction_tourner_droite,Interdictions-interdiction_tourner_droite
1665,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Obligations/tout_droit_ou_a_droite/img_49.png,../Donnees/Obligations/tout_droit_ou_a_droite/img_49.png,Obligations,tout_droit_ou_a_droite,Obligations-tout_droit_ou_a_droite
276,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/interdiction_tourner_gauche/img_4.png,../Donnees/Interdictions/interdiction_tourner_gauche/img_4.png,Interdictions,interdiction_tourner_gauche,Interdictions-interdiction_tourner_gauche
2388,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Dangers/Succesion_De_Virage_Gauche/img_26.png,../Donnees/Dangers/Succesion_De_Virage_Gauche/img_26.png,Dangers,Succesion_De_Virage_Gauche,Dangers-Succesion_De_Virage_Gauche
515,/home/ayoubchoukri/Etudes/5A/Stats_Grande_Dimension/Projets/Projet/Projet_HDDL_2/Commun/Donnees/Interdictions/acces_interdit_vehicules_dangereuses/img_2.png,../Donnees/Interdictions/acces_interdit_vehicules_dangereuses/img_2.png,Interdictions,acces_interdit_vehicules_dangereuses,Interdictions-acces_interdit_vehicules_dangereuses
